Department (>100 employees),<30,30 - 40,40 - 50,50 - 60,60 +
Seattle Police Department,$56.10,$66.57,$73.58,$73.90,$69.90
Construction and Inspections,$46.27,$60.00,$65.52,$67.39,$67.94
Parks and Recreation Department,$29.03,$40.33,$47.05,$46.74,$42.90
Seattle Center,$35.23,$39.63,$43.11,$45.35,$39.49
Seattle Public Library,$34.33,$44.15,$48.76,$49.68,$42.74
Seattle City Light,$49.90,$63.15,$69.84,$72.09,$71.92
Seattle Public Utilities,$41.71,$55.06,$59.99,$63.84,$60.63
Seattle Department of Transportation,$42.53,$59.79,$64.78,$65.66,$58.45
Human Services,$44.62,$53.35,$57.49,$56.07,$53.81
Information Technology,$57.55,$73.94,$75.43,$77.35,$78.07
Seattle Fire Department,$47.71,$52.70,$58.62,$65.01,$64.83
Finance and Administrative Service,$43.15,$54.50,$62.37,$61.15,$60.24
Seattle Municipal Courts,$43.11,$49.55,$57.75,$57.11,$62.17
Community Safety and Communication Center,$45.69,$51.57,$64.18,$53.99,$64.11
Law Department,$43.70,$63.90,$76.12,$75.55,$72.79
